Subject,type,alternative label (cs),alternative label (en),is in scheme,notation,preferred label (cs),preferred label (en),Temporal Coverage,note (cs),definition (cs),hasBeginning,hasEnd,inXSDDate,je-nespecifikovaný
https://blank_Nodes_IRI.org/68,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2020-02-01,
https://blank_Nodes_IRI.org/69,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/70,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,71,72,,
https://blank_Nodes_IRI.org/59,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/71,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2013-07-01,
https://blank_Nodes_IRI.org/72,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/73,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,74,75,,
https://blank_Nodes_IRI.org/74,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/75,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/60,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/76,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,77,78,,
https://blank_Nodes_IRI.org/77,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/2,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/78,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/79,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,80,81,,
https://blank_Nodes_IRI.org/80,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/81,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/82,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,83,84,,
https://blank_Nodes_IRI.org/83,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/84,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/85,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,86,87,,
https://blank_Nodes_IRI.org/86,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2002-01-01,
https://blank_Nodes_IRI.org/87,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/88,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,89,90,,
https://blank_Nodes_IRI.org/91,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,92,93,,
https://blank_Nodes_IRI.org/92,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/93,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/94,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,95,96,,
https://blank_Nodes_IRI.org/95,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/96,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/97,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,98,99,,
https://blank_Nodes_IRI.org/98,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/99,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/100,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,101,102,,
https://blank_Nodes_IRI.org/89,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/101,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2018-01-01,
https://blank_Nodes_IRI.org/102,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
